YEAR,United Arab Emirates,Bangladesh,Canada,Switzerland,China,Denmark,Spain,France,United Kingdom,Ghana,Greenland,"Hong Kong SAR, China",India,Iceland,Japan,Mexico,Netherlands,Norway,New Zealand,United States
1979,39.28918732,0.085752004,18.26610116,6.340850586,1.542675099,12.31219662,5.478315887,9.635528106,11.46539104,0.246043289,11.53330645,3.222395683,0.434690103,8.804633752,8.24734789,3.642771221,13.37862422,8.408177547,5.299398842,21.78043698
1980,36.19849163,0.095911726,18.07962055,6.414949786,1.495250749,11.78401383,5.734778954,9.161529158,10.28675704,0.231506797,11.24936255,3.291036717,0.449266662,8.181464727,8.114017015,3.961751778,12.54494544,9.313753849,5.608463812,20.78648774
1981,33.60995887,0.097003327,17.32493528,6.11563526,1.460431817,10.11194239,5.48982234,8.203107304,9.955296648,0.268523035,10.35388235,3.605876259,0.473644453,7.596047756,7.901592054,4.099403604,11.57815117,9.8372189,5.288863324,19.76676417
1982,31.65478629,0.1024532,16.51518883,5.73116759,1.566739684,10.49196453,5.525887108,7.841028004,9.740461658,0.260653947,10.03974757,3.742575933,0.477490558,6.8366202,7.599902312,4.289944895,9.384833319,9.976716899,5.779176198,18.59049523
1983,28.76982138,0.095609977,16.11132555,6.242518469,1.629055908,9.810842233,5.367036187,7.543287697,9.687798405,0.30381653,6.968003839,3.931746272,0.50527683,6.530059879,7.411085746,3.829532781,9.623180022,9.083047026,5.615176132,18.57154371
1984,35.85465517,0.103187684,16.62025251,6.08124526,1.75044806,9.950133216,5.190482538,7.194881769,9.381702909,0.208095982,10.78529412,4.139887364,0.506132025,7.578628956,7.833248279,3.73389481,10.05639192,9.772232741,5.979286046,18.97675027
1985,36.54481087,0.112760305,16.33299046,6.155338532,1.871054791,11.74744309,5.230998485,7.075849582,9.900139784,0.260174412,9.581071429,4.217970749,0.543976976,6.744466767,7.580675398,3.796893825,10.20925607,9.804827001,6.714909304,18.88231274
1986,32.65713505,0.123010375,15.51911259,6.502824669,1.939434257,11.50329653,4.93636136,6.767999746,10.03463939,0.231470925,6.100242991,4.651619303,0.570556174,7.343650794,7.53411367,3.795908929,9.956978312,11.29660355,7.052053415,18.72072272
1987,31.10002113,0.123994991,16.31019464,6.150039281,2.038410689,11.37930503,4.934193197,6.587686527,10.06774667,0.242445905,4.338040665,5.066314846,0.595939656,7.532101733,7.418518417,3.880765463,10.40360157,9.722543741,7.363341376,19.35033442
1988,29.72696252,0.137961112,17.02217437,6.174526108,2.150905225,10.74325063,5.134110769,6.458902178,10.02074396,0.24741067,9.970492701,5.238943777,0.629950482,7.400368383,8.066694192,3.800867772,9.953506258,10.09201,7.735165377,20.01041341
1989,31.57475397,0.133612956,16.98419297,5.937782989,2.153077911,9.505090019,5.837882861,6.742280767,10.19193063,0.232997176,8.554122966,5.337148183,0.676937711,7.526825969,8.329948098,4.393378554,10.98402906,11.6822755,7.700344326,20.07576978
1990,28.44462414,0.137265538,15.71554138,6.345085168,2.152000537,9.770698699,5.624190007,6.451223276,9.710881678,0.260877597,6.265557554,4.791623806,0.709000751,7.842665191,8.842659551,3.793373018,10.92434905,7.429148081,7.071237612,19.32275118
1991,29.43022518,0.140256964,15.22180457,6.280297083,2.228662125,11.69331148,5.790484006,6.67168905,9.870809033,0.281402362,6.276846847,4.979010779,0.738482682,6.856146503,8.864025056,3.881986429,11.21649839,7.526341168,6.891034877,19.05616319
1992,28.31938861,0.1431025,15.54314788,6.224236273,2.306095614,10.5045545,5.973836221,6.217259025,9.660929998,0.239885479,5.901681736,5.705486596,0.768813909,6.967183412,9.039672009,3.84378479,11.00667577,7.467626804,7.10204151,19.13943728
1993,30.36176287,0.146247155,15.5337111,5.873423831,2.442800659,10.99825503,5.570288803,6.089252757,9.454695828,0.274567984,5.845942029,5.925240637,0.780347321,7.49459854,8.894836513,3.830377124,11.21489823,8.151268173,7.471145513,19.34708291
1994,31.87389257,0.156291442,15.75307185,5.90858368,2.565993892,11.7169489,5.901638793,5.699231509,9.448399895,0.314851868,5.351837838,5.183281473,0.80872395,7.553975062,9.392973504,3.912978646,11.15558774,7.818332417,7.370467403,19.36089205
1995,29.24987806,0.183461551,15.95907715,5.571316975,2.755754966,10.92454083,6.082242269,5.864118291,9.274846236,0.310144312,5.783082437,5.112034242,0.841937014,7.280037238,9.435087309,3.630863982,11.54894623,7.67101664,7.386109054,19.27654526
1996,28.9200595,0.184269584,16.1910295,5.640102519,2.844309582,13.71465193,5.848744212,6.280953607,9.480231059,0.321289122,6.494329159,4.525415896,0.898163092,8.222645733,9.582394674,3.719042582,11.91512474,7.615492854,7.674956324,19.49602474
1997,27.58868547,0.194915272,16.56173401,5.849483122,2.820567891,11.64768852,6.292802734,5.862811599,9.042720853,0.355459117,6.875625,4.731448847,0.916859884,7.763336874,9.53044157,3.908311625,11.42454318,8.195307227,8.204273662,19.69036318
1998,28.96879086,0.192103588,16.79757271,5.865651918,2.67674598,11.22730415,6.5022035,6.271267469,9.094403914,0.348778536,6.405811052,5.975399392,0.918329424,7.667265104,9.168631432,4.050613546,11.36201575,8.52482024,7.871314024,19.5792362
1999,26.42410404,0.205333826,16.95288535,5.696073665,2.648649247,10.36266364,6.991264687,6.098157837,9.047636069,0.348136138,6.667272727,6.465887081,0.959258891,7.456127132,9.457269768,4.016948975,11.02273843,9.117546218,8.510851608,19.72716951
2000,35.91576427,0.216415811,17.41463895,5.442630894,2.696862433,9.613175554,7.257824346,5.946665463,9.199549233,0.326207375,8.09088968,6.067468267,0.976601686,7.693782116,9.612522307,4.028144635,10.91567989,8.834015703,8.549394199,20.17875051
2001,30.70305133,0.250764528,17.01842806,5.945427667,2.742120813,9.875092348,7.290748328,6.153060599,9.233174987,0.350238104,7.223371783,5.65317561,0.968514319,7.373427894,9.448215888,4.117498953,11.05686593,9.284992238,8.87715449,19.63650507
